Icon	#	Point From	Point To	Reflector Height (m)	Azimuth	Horizontal Circle	Slope Distance (m)	Zenith Angle	Date	Note	Code	Type	SDist Residual (m)	ZAngle Residual	Azimuth Residual	Cross Residual (m)	HAngle Residual
 	28	1	29	1.483	 	"220°24'33.0000"""	16.214	"92°22'31.0000"""	 	 	transect1	SS	 	 	 	 	 
 	29	1	30	1.483	 	"217°55'19.0000"""	16.201	"91°58'16.0000"""	 	 	transect1	SS	 	 	 	 	 
 	30	1	31	1.483	 	"216°14'52.0000"""	16.145	"91°39'41.0000"""	 	 	transect1	SS	 	 	 	 	 
 	31	1	32	1.483	 	"217°01'00.0000"""	16.17	"91°50'00.0000"""	 	 	transect1	SS	 	 	 	 	 
 	32	1	33	1.483	 	"216°33'03.0000"""	16.16	"91°42'55.0000"""	 	 	transect1	SS	 	 	 	 	 
 	33	1	34	1.483	 	"216°45'14.0000"""	16.168	"91°45'13.0000"""	 	 	transect1	SS	 	 	 	 	 
 	34	1	35	1.483	 	"208°13'53.0000"""	16.225	"91°04'30.0000"""	 	 	transect1	SS	 	 	 	 	 
 	35	1	36	1.483	 	"212°31'57.0000"""	16.198	"91°12'10.0000"""	 	 	transect1	SS	 	 	 	 	 
 	36	1	37	1.483	 	"214°17'50.0000"""	16.269	"91°20'39.0000"""	 	 	transect1	SS	 	 	 	 	 
 	37	1	38	1.483	 	"213°56'00.0000"""	16.256	"91°15'49.0000"""	 	 	transect1	SS	 	 	 	 	 
